사업장명칭,사업장소재지(지번),사업장소재지(도로명),사육두수
홍*래농장,전라남도 여수시 호명동  ,전라남도 여수시 호명6길 43-1 (호명동),0
홍*지조 농장,    ,전라남도 여수시 호명5길 37-7 (호명동),0
김*만농장,전라남도 여수시 월하동 126번지 2호  ,,0
곽*덕농장,    ,전라남도 여수시 신덕2길 61-4 (신덕동),0
김*곤농장,    ,전라남도 여수시 상암9길 14-2 (상암동),0
강*성농장,    ,전라남도 여수시 상암4길 35-1 (상암동),0
박*주농장,    ,전라남도 여수시 남면 금오로 2,0
이*열농장,    ,전라남도 여수시 남면 여천금이길 12-36,0
정*민농장,    ,전라남도 여수시 남면 연화동길 31-31,0
손*곤농장,전라남도 여수시 남면 두모리 106번지  ,,20
김*자농장,    ,전라남도 여수시 남면 이야포길 17-12,0
이*곤농장,전라남도 여수시 남면 두모리 71번지  ,전라남도 여수시 남면 연화동길 90-26,5
문*호농장,전라남도 여수시 남면 두모리 1503번지 1호  ,,60
김*연농장,전라남도 여수시 남면 두라리 산 19번지 1호  ,,0
이*찬농장,전라남도 여수시 화정면 개도리 524번지 2호  ,,20
문*평농장,전라남도 여수시 화정면 개도리 912번지 1호  ,,0
윤*현농장,    ,전라남도 여수시 화정면 개도화산길 64,0
문*길농장,    ,전라남도 여수시 화정면 신흥길 81,0
박*수농장,전라남도 여수시 소라면 관기리 994번지 14호  ,,4
박*수농장,전라남도 여수시 소라면 관기리 823번지  ,,0
문*회농장,전라남도 여수시 소라면 대포리 345번지 4호  ,,6
황*선농장,전라남도 여수시 소라면 복산리 1623번지  ,,4
황*선농장,전라남도 여수시 소라면 복산리 1674번지 1호  ,,7
곽*복농장,전라남도 여수시 돌산읍 둔전리 산 263번지 1호  ,,13
류*충농장,    ,전라남도 여수시 율촌면 난화길 50,4
김*수농장,전라남도 여수시 둔덕동 352번지  ,,0
조*환농장,전라남도 여수시 율촌면 조화리 107번지  ,,3
성*석농장,전라남도 여수시 율촌면 월산리 808번지  ,전라남도 여수시 율촌면 청대길 69-1,5
서*순농장,    ,전라남도 여수시 율촌면 대초길 26,0
정*호농장,전라남도 여수시 율촌면 월산리 1277번지  ,전라남도 여수시 율촌면 청대길 200,3
차*기농장,    ,전라남도 여수시 율촌면 구암2길 41,15
임*은농장,    ,전라남도 여수시 율촌면 구암2길 21-6,15
차*육농장,전라남도 여수시 율촌면 신풍리 1284번지  ,전라남도 여수시 율촌면 구암2길 55,5
서*수농장,전라남도 여수시 율촌면 신풍리 1254번지 15호  ,전라남도 여수시 율촌면 구암2길 6-9,4
유*택농장,전라남도 여수시 율촌면 상봉리 725번지 4호  ,전라남도 여수시 율촌면 해룡로 190-14,1
유*익농장,    ,전라남도 여수시 율촌면 해룡로 173-27,0
홍*의농장,    ,전라남도 여수시 율촌면 해룡로 34-3,5
홍*의농장,전라남도 여수시 율촌면 상봉리 375번지 4호  ,전라남도 여수시 율촌면 해룡로 32,4
박*자농장,전라남도 여수시 율촌면 산수리 181번지 1호  ,전라남도 여수시 율촌면 서부로 1692-29,0
황*선농장,전라남도 여수시 율촌면 산수리 1177번지  ,전라남도 여수시 율촌면 산수봉두1길 42-1,2
구*임농장,전라남도 여수시 율촌면 반월리 560번지  ,전라남도 여수시 율촌면 원반월길 92,12
박*성농장,전라남도 여수시 율촌면 가장리 1322번지  ,전라남도 여수시 율촌면 난화길 69,4
박*빈농장,전라남도 여수시 율촌면 상봉리 148번지  ,전라남도 여수시 율촌면 서부로 1140-5,4
정*원농장,전라남도 여수시 율촌면 가장리 197번지 1호  ,전라남도 여수시 율촌면 중산길 33,3
선*수농장,전라남도 여수시 율촌면 가장리 1733번지  ,전라남도 여수시 율촌면 연화길 132-5,4
박*래농장,전라남도 여수시 율촌면 가장리 1773번지 1호  ,전라남도 여수시 율촌면 연화길 118-75,6
김*만농장,전라남도 여수시 신월동 441번지 22호  ,전라남도 여수시 신월8길 35-10 (신월동),0
김*성농장,    ,전라남도 여수시 화양면 서촌길 25-9,1
김*도농장,전라남도 여수시 화양면 서촌리 594번지  ,,3
김*빈농장,전라남도 여수시 화양면 서촌리 1287번지  ,전라남도 여수시 화양면 화서로 681-13,1
박*희농장,전라남도 여수시 화양면 서촌리 산 214번지  ,전라남도 여수시 화양면 화서로 676,8
이*근농장,    ,전라남도 여수시 화양면 화서로 701-13,1
김*택농장,전라남도 여수시 화양면 서촌리 1262번지 2호  ,전라남도 여수시 화양면 화서로 681-8,7
김*기농장,전라남도 여수시 화양면 서촌리 산 292번지 1호  ,,5
김*만농장,전라남도 여수시 화양면 서촌리 500번지  ,전라남도 여수시 화양면 봉오동길 20-5,6
장*수농장,    ,전라남도 여수시 화양면 작은골길 33,0
박*규농장,    ,전라남도 여수시 화양면 상전길 164,1
문*철농장,    ,전라남도 여수시 화양면 옥천로 862-2,0
고*임농장,    ,전라남도 여수시 화양면 서촌길 6-1,1
주*규농장,전라남도 여수시 화양면 서촌리 645번지  ,전라남도 여수시 화양면 서촌길 6,3
강*호농장,    ,전라남도 여수시 화양면 세포윗돔길 37,0
김*군농장,    ,전라남도 여수시 화양면 셋돔길 24-6,0
장*익농장,전라남도 여수시 화양면 옥적리 1849번지 2호  ,전라남도 여수시 화양면 옥적수문길 26,4
유*두농장,전라남도 여수시 화양면 옥적리 산 536번지 3호  ,전라남도 여수시 화양면 마상길 207-6,7
남*용농장,전라남도 여수시 화양면 용주리 1379번지  ,전라남도 여수시 화양면 영터길 17-15,0
최*익농장,전라남도 여수시 화양면 용주리 658번지  ,전라남도 여수시 화양면 고내1길 17-6,0
정*수농장,전라남도 여수시 화양면 용주리 953번지  ,전라남도 여수시 화양면 고외2길 38-9,0
