사업장명칭,주사육업종,사업장소재지
재*농장,한우,경상북도 경산시 용성면 용전리
새*골농장,한우,경상북도 경산시 용성면 용천리
용*리축산,한우,경상북도 경산시 용성면 용천리
상*농장,한우,경상북도 경산시 용성면 가척리
부*리농장,한우,경상북도 경산시 용성면 부제리
인*농장,한우,경상북도 경산시 용성면 부제리
석*농장,한우,경상북도 경산시 용성면 매남리
우*집목장,한우,경상북도 경산시 용성면 매남리
매*축산,한우,경상북도 경산시 용성면 매남리
홍*농장,한우,경상북도 경산시 용성면 매남리
양*목장,한우,경상북도 경산시 용성면 송림리
대*목장,한우,경상북도 경산시 용성면 송림리
호*나목장,한우,경상북도 경산시 용성면 송림리
류*농장,한우,경상북도 경산시 용성면 송림리
상*축산,한우,경상북도 경산시 용성면 고은리
오*축산,한우,경상북도 경산시 용성면 미산리
기*농장,한우,경상북도 경산시 용성면 미산리
희*농장,한우,경상북도 경산시 용성면 미산리
박*근농장,한우,경상북도 경산시 용성면 고은리
외*농장,한우,경상북도 경산시 용성면 외촌리
해*농장,한우,경상북도 경산시 용성면 고죽리
유*농장,한우,경상북도 경산시 용성면 고죽리
남*농장,한우,경상북도 경산시 용성면 고죽리
필*농장,한우,경상북도 경산시 용성면 고죽리
태*농장,한우,경상북도 경산시 하양읍 양지리
호*농장,한우,경상북도 경산시 하양읍 서사리
가*농장,한우,경상북도 경산시 진량읍 마곡리
석*농장,한우,경상북도 경산시 진량읍 속초리
평*농장,한우,경상북도 경산시 와촌면 상암리
솔*농장,,경상북도 경산시 와촌면 대한리
둔*농장,한우,경상북도 경산시 와촌면 덕촌리
평*농장,한우,경상북도 경산시 평산동
언*농장,한우,경상북도 경산시 신천동
의*농장,"육우, 젖소",경상북도 경산시 갑제동
동*축산,한우,경상북도 경산시 자인면
희*농장,한우,경상북도 경산시 남산면 갈지리
한*농원,"한우, 육우",경상북도 경산시 자인면 북사리
왕*농장,한우,경상북도 경산시 용성면 용천리
가*골 체험농장,종계/산란계,경상북도 경산시 용성면 고죽리
용*목장,한우,경상북도 경산시 용성면 곡신리
해*목장,한우,경상북도 경산시 용성면 미산리
덕*농장,한우,경상북도 경산시 용성면 송림리
최*욱농장,한우,경상북도 경산시 용성면 외촌리
최*택농장,한우,경상북도 경산시 용성면 외촌리
장*관목장,한우,경상북도 경산시 용성면 외촌리
인*농장,한우,경상북도 경산시 용성면 고죽리
피*포크경산유전자,돼지,경상북도 경산시 용성면 곡신리
종*목장,한우,경상북도 경산시 용성면 외촌리
대*농장,한우,경상북도 경산시 용성면 부제리
금*축산,한우,경상북도 경산시 남천면 금곡리
양*농장,한우,경상북도 경산시 진량읍 양기리
안*수농장,한우,경상북도 경산시 남산면 평기리
북*농장,한우,경상북도 경산시 진량읍 북리
호*농장,한우,경상북도 경산시 여천동
