사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
성**농장,한우,경상북도 청도군 이서면 구라리 ,3,2026-05-11
성**농장,한우,경상북도 청도군 이서면 구라리 ,0,2026-05-11
대**축산,한우,경상북도 청도군 이서면 구라리 ,50,2026-05-11
대**농장,한우,경상북도 청도군 이서면 금촌리 ,3,2026-05-11
한**농장,한우,경상북도 청도군 이서면 금촌리 ,1,2026-05-11
율**농장,한우,경상북도 청도군 이서면 대곡리 ,10,2026-05-11
이**농장,한우,경상북도 청도군 이서면 대곡리 ,5,2026-05-11
대**축산,한우,경상북도 청도군 이서면 대전리 ,15,2026-05-11
병**농장,한우,경상북도 청도군 이서면 대전리 ,40,2026-05-11
대**축산,한우,경상북도 청도군 이서면 대전리 ,220,2026-05-11
차**농장,한우,경상북도 청도군 이서면 대전리 ,7,2026-05-11
박**농장,한우,경상북도 청도군 이서면 대전리 ,16,2026-05-11
대**농장,한우,경상북도 청도군 이서면 대전리 ,0,2026-05-11
푸**농장,한우,경상북도 청도군 이서면 서원리 ,200,2026-05-11
순**농장,한우,경상북도 청도군 이서면 서원리 ,12,2026-05-11
다**농장,한우,경상북도 청도군 이서면 서원리 ,70,2026-05-11
황**목장,한우,경상북도 청도군 이서면 서원리 ,35,2026-05-11
이**농장,한우,경상북도 청도군 이서면 서원리 ,41,2026-05-11
솔**농장2,한우,경상북도 청도군 이서면 서원리 ,8,2026-05-11
금**법인,한우,경상북도 청도군 이서면 서원리 ,23,2026-05-11
푸**농장,한우,경상북도 청도군 이서면 서원리 ,0,2026-05-11
솔**농장1,한우,경상북도 청도군 이서면 서원리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 이서면 수야리 ,20,2026-05-11
부**농장,한우,경상북도 청도군 이서면 신촌리 ,40,2026-05-11
이**농장,한우,경상북도 청도군 이서면 신촌리 ,14,2026-05-11
이**농장,한우,경상북도 청도군 이서면 신촌리 ,56,2026-05-11
상**농장,한우,경상북도 청도군 이서면 신촌리 ,20,2026-05-11
이**농장,한우,경상북도 청도군 이서면 신촌리 ,65,2026-05-11
박**농장,한우,경상북도 청도군 이서면 신촌리 ,13,2026-05-11
이**농장,한우,경상북도 청도군 이서면 신촌리 ,5,2026-05-11
두**농장,한우,경상북도 청도군 이서면 양원리 ,17,2026-05-11
서**목장,한우,경상북도 청도군 이서면 칠곡리 ,30,2026-05-11
변**농장,한우,경상북도 청도군 이서면 칠엽리 ,6,2026-05-11
추**농장,한우,경상북도 청도군 이서면 칠엽리 ,2,2026-05-11
세**농장,한우,경상북도 청도군 이서면 학산리 ,100,2026-05-11
영**농장,한우,경상북도 청도군 이서면 학산리 ,20,2026-05-11
강**농장,한우,경상북도 청도군 이서면 흥선리 ,0,2026-05-11
영**농장,한우,경상북도 청도군 청도읍 거연리 ,30,2026-05-11
돌**농장,한우,경상북도 청도군 청도읍 거연리 ,0,2026-05-11
재**농장,한우,경상북도 청도군 청도읍 고수리 ,10,2026-05-11
상**농장,한우,경상북도 청도군 청도읍 구미리 ,42,2026-05-11
용**,한우,경상북도 청도군 청도읍 내리 ,19,2026-05-11
고**농장,한우,경상북도 청도군 청도읍 내호리 ,30,2026-05-11
황**농장,한우,경상북도 청도군 청도읍 덕암리 ,32,2026-05-11
문**농장,한우,경상북도 청도군 청도읍 덕암리 ,17,2026-05-11
덕**농장,한우,경상북도 청도군 청도읍 덕암리 ,1,2026-05-11
덕**목장,한우,경상북도 청도군 청도읍 덕암리 ,35,2026-05-11
덕**농장,한우,경상북도 청도군 청도읍 덕암리 ,61,2026-05-11
