사업장명칭,주사육업종,사업장소재지,적정사육두수
봉두축산,한우,전라남도 보성군 조성면 ,152
제일농장,오리,전라남도 보성군 웅치면 ,13105
진산농장,한우,전라남도 보성군 문덕면 ,75
윤이구농장,한우,전라남도 보성군 보성읍 ,24
정병재농장,한우,전라남도 보성군 벌교읍 ,14
김혜정농장,한우,전라남도 보성군 득량면 ,97
서춘일농장,한우,전라남도 보성군 벌교읍 ,6
문경술농장,한우,전라남도 보성군 미력면 ,21
박영희농장,한우,전라남도 보성군 복내면 ,18
김문자농장,한우,전라남도 보성군 복내면 ,19
유춘호농장,한우,전라남도 보성군 득량면 ,160
박홍순농장,염소,전라남도 보성군 문덕면 ,0
박옥농장,한우,전라남도 보성군 득량면 ,22
조양농장,한우,전라남도 보성군 득량면 ,76
신기농장,한우,전라남도 보성군 조성면 ,27
주종현농장,한우,전라남도 보성군 웅치면 ,12
고용관농장,한우,전라남도 보성군 보성읍 ,70
동양농장,한우,전라남도 보성군 율어면 ,24
선영준농장,한우,전라남도 보성군 미력면 ,149
이호영농장,한우,전라남도 보성군 복내면 ,20
이상만농장,한우,전라남도 보성군 벌교읍 ,16
이경미농장,한우,전라남도 보성군 복내면 ,100
박해완농장,한우,전라남도 보성군 복내면 ,80
동원농장,돼지,전라남도 보성군 득량면 ,230
최정현농장,한우,전라남도 보성군 벌교읍 ,35
정상섭농장,한우,전라남도 보성군 득량면 ,97
김경숙농장,오리,전라남도 보성군 웅치면 ,20474
엄종호농장,한우,전라남도 보성군 문덕면 ,19
오동농장,한우,전라남도 보성군 노동면 ,31
안테나농장,한우,전라남도 보성군 복내면 ,7
케이디바이오,돼지,전라남도 보성군 조성면 ,2478
소선명농장,한우,전라남도 보성군 복내면 ,24
진척농장,한우,전라남도 보성군 복내면 ,9
소병호농장,한우,전라남도 보성군 복내면 ,91
묵석한우목장,한우,전라남도 보성군 복내면 ,422
손길호농장,한우,전라남도 보성군 복내면 ,100
준모농장,한우,전라남도 보성군 벌교읍 ,20
선춘근농장,한우,전라남도 보성군 벌교읍 ,24
금호농장,한우,전라남도 보성군 노동면 ,24
이평천농장,한우,전라남도 보성군 벌교읍 ,49
늘푸른농장,한우,전라남도 보성군 벌교읍 ,24
연담농장,종계/산란계,전라남도 보성군 노동면 ,0
영화농장,한우,전라남도 보성군 벌교읍 ,256
혜리농장,오리,전라남도 보성군 보성읍 ,14666
녹차골농장,오리,전라남도 보성군 보성읍 ,14022
임인남농장,한우,전라남도 보성군 조성면 ,32
김용광농장,한우,전라남도 보성군 회천면 ,251
금능축산,한우,전라남도 보성군 득량면 ,300
부자농장,한우,전라남도 보성군 보성읍 ,51
오근호농장,한우,전라남도 보성군 조성면 ,20
박종민농장,한우,전라남도 보성군 회천면 ,19
동양농장,한우,전라남도 보성군 보성읍 ,54
배태욱농장,한우,전라남도 보성군 보성읍 ,60
김명열농장,한우,전라남도 보성군 조성면 ,43
이종석농장,한우,전라남도 보성군 조성면 ,59
정현순농장,한우,전라남도 보성군 겸백면 ,36
이동혁농장,한우,전라남도 보성군 회천면 ,35
류철수농장,한우,전라남도 보성군 율어면 ,16
박왕수농장,한우,전라남도 보성군 벌교읍 ,70
보성3농장,한우,전라남도 보성군 보성읍 ,69
성호농장,한우,전라남도 보성군 보성읍 ,20
대웅축산,한우,전라남도 보성군 조성면 ,73
희망농장,한우,전라남도 보성군 회천면 ,74
손광석농장,한우,전라남도 보성군 노동면 ,3
손길태농장,한우,전라남도 보성군 노동면 ,2
손정열농장,한우,전라남도 보성군 노동면 ,70
양지농장,한우,전라남도 보성군 문덕면 ,7
조승학농장,한우,전라남도 보성군 벌교읍 ,11
선동수농장,한우,전라남도 보성군 조성면 ,13
천마농장,한우,전라남도 보성군 복내면 ,12
정환농장,한우,전라남도 보성군 웅치면 ,30
안종호농장,한우,전라남도 보성군 보성읍 ,12
바람재 흑염소농장,산양,전라남도 보성군 미력면 ,0
백용민농장,한우,전라남도 보성군 율어면 ,3
샘골농장,한우,전라남도 보성군 미력면 ,19
이화숙농장,한우,전라남도 보성군 득량면 ,12
늘푸른 흑염소농장,산양,전라남도 보성군 노동면 ,0
주월농장,산양,전라남도 보성군 조성면 ,0
윤봉기농장,한우,전라남도 보성군 조성면 ,9
최옥란농장,한우,전라남도 보성군 보성읍 ,5
갈멜사슴농원,사슴,전라남도 보성군 웅치면 ,0
이장옥농장,한우,전라남도 보성군 미력면 ,3
김경순농장,한우,전라남도 보성군 미력면 ,4
이상옥농장,한우,전라남도 보성군 미력면 ,9
소룡농장,한우,전라남도 보성군 미력면 ,13
봉능축산,한우,전라남도 보성군 조성면 ,12
선영규농장,한우,전라남도 보성군 조성면 ,3
유영자농장,한우,전라남도 보성군 문덕면 ,3
송재근농장,한우,전라남도 보성군 미력면 ,7
장정만농장,한우,전라남도 보성군 미력면 ,1
지동축산,한우,전라남도 보성군 벌교읍 ,19
박정식농장,한우,전라남도 보성군 벌교읍 ,7
김상만농장,한우,전라남도 보성군 벌교읍 ,21
심외섭농장,한우,전라남도 보성군 벌교읍 ,9
한재윤농장,한우,전라남도 보성군 벌교읍 ,19
양은석농장,한우,전라남도 보성군 벌교읍 ,37
세실농장,한우,전라남도 보성군 보성읍 ,43
