연번,사업장명칭,주사육업종,등록축종,사업장소재지
149,정순조농장,한우,한우,전라남도 영광군 영광읍
150,태산목장,한우,한우,전라남도 영광군 백수읍
151,초록농장,한우,한우,전라남도 영광군 백수읍
152,효은농장,한우,한우,전라남도 영광군 법성면
153,병관농장,한우,한우,전라남도 영광군 영광읍
154,영숙농장,한우,한우,전라남도 영광군 묘량면
155,월곡농장,한우,한우,전라남도 영광군 영광읍
156,밝음농장,한우,한우,전라남도 영광군 불갑면
157,선우목장,젖소,젖소,전라남도 영광군 홍농읍
158,지학농장,한우,,전라남도 영광군 대마면
159,신덕축산,한우,한우,전라남도 영광군 법성면
160,장자농장,한우,한우,전라남도 영광군 법성면
161,대승축산,한우,한우,전라남도 영광군 백수읍
162,삼수농장,한우,한우,전라남도 영광군 불갑면
163,새롬축산,한우,한우,전라남도 영광군 묘량면
164,윤석천농장,한우,한우,전라남도 영광군 묘량면
165,삼학농장,한우,한우,전라남도 영광군 묘량면
166,덕흥축산,한우,한우,전라남도 영광군 묘량면
167,매선박농장,한우,한우,전라남도 영광군 묘량면
168,영진농장,한우,한우,전라남도 영광군 법성면
169,은혜농장,한우,한우,전라남도 영광군 묘량면
170,희망농장,한우,한우,전라남도 영광군 불갑면
171,장암농장,한우,한우,전라남도 영광군 묘량면
172,구원축사,한우,한우,전라남도 영광군 영광읍
173,풍요농장,한우,한우,전라남도 영광군 불갑면
174,사등농장,한우,한우,전라남도 영광군 백수읍
175,와우축산,한우,한우,전라남도 영광군 묘량면
176,덕전농장,한우,한우,전라남도 영광군 영광읍
177,명은농장,한우,한우,전라남도 영광군 군서면
178,김종수농장,한우,한우,전라남도 영광군 불갑면
179,한우농장,한우,한우,전라남도 영광군 군서면
180,늘푸른농장,한우,한우,전라남도 영광군 백수읍
181,청보리한우영농조합법인,한우,한우,전라남도 영광군 법성면
182,늘푸른농장,한우,한우,전라남도 영광군 영광읍
183,청솔농장,육계,육계,전라남도 영광군 군남면
184,대승농장,한우,한우,전라남도 영광군 대마면
185,금성농장,육계,육계,전라남도 영광군 법성면
186,형제농장,한우,한우,전라남도 영광군 대마면
187,강일원농장,한우,한우,전라남도 영광군 백수읍
188,만수축산,한우,한우,전라남도 영광군 군서면
189,정원농장,한우,한우,전라남도 영광군 불갑면
190,거성농장,돼지,돼지,전라남도 영광군 대마면
191,대주농장,한우,한우,전라남도 영광군 백수읍
192,백동농장,한우,한우,전라남도 영광군 영광읍
193,원흥농장,오리,오리,전라남도 영광군 대마면
194,정산축산,한우,한우,전라남도 영광군 묘량면
195,학동농장,한우,한우,전라남도 영광군 묘량면
196,신만농장,한우,한우,전라남도 영광군 영광읍
197,민들레농장,한우,한우,전라남도 영광군 영광읍
198,평전농장,한우,한우,전라남도 영광군 영광읍
199,자비농장,한우,한우,전라남도 영광군 불갑면
200,대사미 축산,한우,한우,전라남도 영광군 백수읍
201,형우농장,한우,한우,전라남도 영광군 법성면
202,클로버농장,한우,한우,전라남도 영광군 군서면
203,모악농장,한우,한우,전라남도 영광군 불갑면
204,정민수농장,한우,한우,전라남도 영광군 염산면
205,성율농장,한우,한우,전라남도 영광군 염산면
206,성한목장,한우,한우,전라남도 영광군 불갑면
207,운식농장,한우,한우,전라남도 영광군 염산면
208,단산농장,한우,한우,전라남도 영광군 불갑면
209,초원농장,한우,한우,전라남도 영광군 백수읍
210,해오름농장,한우,한우,전라남도 영광군 군남면
211,숙원농장,한우,한우,전라남도 영광군 염산면
212,서천농장,한우,한우,전라남도 영광군 영광읍
213,창조농장,육계,육계,전라남도 영광군 묘량면
214,오동축산,한우,한우,전라남도 영광군 염산면
215,동윤양우,한우,육우,전라남도 영광군 법성면
216,어울림농장,종계/산란계,종계/산란계,전라남도 영광군 백수읍
217,천정농장,오리,오리,전라남도 영광군 백수읍
218,형제농장,한우,한우,전라남도 영광군 백수읍
219,석산축산,한우,한우,전라남도 영광군 군서면
220,남수농장,한우,한우,전라남도 영광군 영광읍
221,신하축산,한우,한우,전라남도 영광군 영광읍
222,정복농장,한우,한우,전라남도 영광군 영광읍
223,정남농장,한우,한우,전라남도 영광군 염산면
224,한성축산,한우,한우,전라남도 영광군 백수읍
225,유남농장,한우,한우,전라남도 영광군 홍농읍
226,성산축산,한우,한우,전라남도 영광군 홍농읍
227,화신농장,한우,한우,전라남도 영광군 홍농읍
