가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 이동면 석평리 327번지 4호  ,경상남도 남해군 이동면 남해대로2197번나길 25-19,17 ,176 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 산 120번지 9호  ,경상남도 남해군 이동면 남해대로2477번길 106,12 ,292 ,2022-11-07
한우,경상남도 남해군 남해읍 입현리 359번지 2호  ,경상남도 남해군 남해읍 강진만로 117,18 ,229 ,2022-11-07
한우,경상남도 남해군 서면 정포리 672번지 1호  ,경상남도 남해군 서면 정포로 259-2,8 ,44 ,2022-11-07
한우,경상남도 남해군 남해읍 북변리 1번지 20호  ,경상남도 남해군 남해읍 에코파크길 81-39,38 ,350 ,2022-11-07
한우,경상남도 남해군 남해읍 평현리 2039번지 1호  ,경상남도 남해군 남해읍 스포츠로287번길 39-30,5 ,355 ,2022-11-07
한우,경상남도 남해군 남해읍 아산리 1152번지  ,,1 ,58 ,2022-11-07
한우,경상남도 남해군 설천면 진목리 964번지 1호  ,경상남도 남해군 설천면 설천로 263-1,5 ,96 ,2022-11-07
한우,경상남도 남해군 고현면 갈화리 1016번지 2호  ,경상남도 남해군 고현면 남서대로 2956-90,10 ,119 ,2022-11-07
한우,경상남도 남해군 서면 중현리 907번지 4호  ,경상남도 남해군 서면 화방로 550-61,34 ,592 ,2022-11-07
한우,경상남도 남해군 창선면 광천리 667번지  ,,4 ,45 ,2022-11-07
한우,경상남도 남해군 창선면 대벽리 746번지 2호  ,,6 ,150 ,2022-11-07
한우,경상남도 남해군 창선면 부윤리 533번지  ,경상남도 남해군 창선면 흥선로 102-14,8 ,244 ,2022-11-07
한우,경상남도 남해군 삼동면 금송리 786번지  ,,8 ,250 ,2022-11-07
한우,경상남도 남해군 삼동면 영지리 2814번지  ,경상남도 남해군 삼동면 삼이로442번길 90,16 ,200 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 835번지  ,경상남도 남해군 설천면 설천로646번길 29-11,13 ,80 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 219번지  ,경상남도 남해군 설천면 강진로 279-7,60 ,714 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1526번지 1호  ,경상남도 남해군 서면 남서대로2309번길 29-2,24 ,311 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 652번지 1호  ,경상남도 남해군 설천면 강진로438번길 23,2 ,30 ,2022-11-07
한우,경상남도 남해군 설천면 금음리 827번지 1호  ,,32 ,330 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 920번지  ,경상남도 남해군 고현면 남치로159번길 59-10,26 ,288 ,2022-11-07
한우,경상남도 남해군 고현면 오곡리 625번지  ,경상남도 남해군 고현면 고설로 59-19,3 ,336 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 130번지 2호  ,,6 ,147 ,2022-11-07
한우,경상남도 남해군 고현면 포상리 793번지  ,경상남도 남해군 고현면 삼봉로257번길 31,25 ,258 ,2022-11-07
한우,경상남도 남해군 남면 석교리 1300번지 1호  ,경상남도 남해군 남면 남면로 142-60,48 ,1077 ,2022-11-07
한우,경상남도 남해군 남면 선구리 475번지 1호  ,,7 ,60 ,2022-11-07
