시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,약사골농장,돼지,31,경기도 포천시 이동면 금강로 6280,경기도 포천시 이동면 도평리 540번지 1호  ,,,2025-01-13
포천시,대연축산,돼지,4000,경기도 포천시 창수면 옥수로298번길 68-55,"경기도 포천시 창수면 주원리 91번지 91-1,91-2,49,50-1 ",,,2025-01-13
포천시,고구려농장,돼지,850,경기도 포천시 관인면 창동로 1516-16,경기도 포천시 관인면 초과리 542번지  ,,,2025-01-13
포천시,인록축산,돼지,500,경기도 포천시 창수면 가영로535번길 225,경기도 포천시 창수면 주원리 64번지  ,,,2025-01-13
포천시,양문농장,돼지,1200,경기도 포천시 영중면 사은다리길 50-61,경기도 포천시 영중면 양문리 866번지 2호  ,,,2025-01-13
포천시,한반도농장,돼지,780,"경기도 포천시 영중면 옥수로262번길 201, (영송리 627,628-4)",경기도 포천시 영중면 영송리 627번지 등 2필지(628-4) ,,,2025-01-13
포천시,늘푸른농장,돼지,3500,경기도 포천시 창수면 가영로535번길 209,경기도 포천시 창수면 주원리 59번지 2호  ,,,2025-01-13
포천시,명진농장,돼지,600,경기도 포천시 관인면 윗찬물길 205,"경기도 포천시 관인면 냉정리 760번지 ,-1 ",,,2025-01-13
포천시,주원농장2,돼지,0,경기도 포천시 창수면 옥수로298번길 51,경기도 포천시 창수면 주원리 75번지  ,,,2025-01-13
포천시,민지농장,돼지,1600,경기도 포천시 이동면 화동로1823번길 78,경기도 포천시 이동면 연곡리 1005번지 2호  ,,,2025-01-13
포천시,대성농장,돼지,1080,경기도 포천시 영중면 궁들길 253-52,경기도 포천시 영중면 금주리 318번지  ,,,2025-01-13
포천시,고은농장,돼지,500,경기도 포천시 이동면 제비울1길 44-87,경기도 포천시 이동면 연곡리 599번지 13호  ,,,2025-01-13
포천시,우리농산,돼지,300,경기도 포천시 이동면 화동로2290번길 81,경기도 포천시 이동면 도평리 299번지  ,,,2025-01-13
포천시,지앤알팜3,돼지,1350,경기도 포천시 일동면 사당말6길 78,경기도 포천시 일동면 사직리 산 3번지 4호 외1필지(산3-5) ,,,2025-01-13
포천시,성심농장,염소,30,"경기도 포천시 일동면 수입로 321-21, 등 3필지(674-2,-3,676-6)","경기도 포천시 일동면 수입리 674번지 3호 등 3필지(-2,676-6) ",,,2025-01-13
포천시,정원농장,돼지,300,,경기도 포천시 일동면 사직리 699번지  ,,,2025-01-13
포천시,에코농장,돼지,1350,경기도 포천시 창수면 가영로535번길 225,경기도 포천시 창수면 주원리 65번지 5호  ,,,2025-01-13
포천시,사계영농조합법인,돼지,2500,경기도 포천시 일동면 새낭로215번길 68-213,경기도 포천시 일동면 사직리 1421번지  ,,,2025-01-13
포천시,연곡농장,돼지,1188,"경기도 포천시 이동면 화동로1908번길 44-151 (외2필지(235-3, -6))","경기도 포천시 이동면 연곡리 234번지 4호 외2필지(235-3, -6) ",,,2025-01-13
포천시,부광농장,돼지,1720,경기도 포천시 영중면 은잿말길 21 (외1필지(413-1)),경기도 포천시 영중면 거사리 413번지 외1필지(413-1) ,,,2025-01-13
