농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
매산농장,돼지,1028,경기도 안성시 죽산면 하구산길 178-35,경기도 안성시 죽산면 매산리 958번지  
기쁨농장,돼지,789,경기도 안성시 대덕면 시미실길 151,경기도 안성시 대덕면 보동리 308번지 1호  
태광농장,돼지,2000,경기도 안성시 미양면 중앙배수1길 170-48,경기도 안성시 미양면 정동리 524번지 8호  
팜스코바이오인티 삼죽농장,돼지,2840,경기도 안성시 삼죽면 밤고개길 79-111,경기도 안성시 삼죽면 율곡리 24번지 1호 번지 외 9필지 
대화농장,돼지,3000,경기도 안성시 일죽면 죽화로 251-19,"경기도 안성시 일죽면 화곡리 764번지 7호 , 764-2 "
여명축산,돼지,950,경기도 안성시 일죽면 지내동길 39-28,"경기도 안성시 일죽면 신흥리 213번지 5호 , 214, 215 "
신흥농장2,돼지,0,경기도 안성시 일죽면 지내동길 40-37,경기도 안성시 일죽면 신흥리 958번지 7호  
농업회사법인(주)국제축산(제2농장),돼지,1512,경기도 안성시 일죽면 금일로 254-28,경기도 안성시 일죽면 화봉리 336번지 2호  
지니팜,돼지,2500,경기도 안성시 미양면 중앙배수1길 170-47,경기도 안성시 미양면 정동리 505번지 1호 외 1필지 
새마을농장,돼지,0,경기도 안성시 일죽면 죽화로 433,경기도 안성시 일죽면 신흥리 686번지 4호 번지 외 3필지 
농업회사법인(주) 팜스월드 광일농장,돼지,2800,경기도 안성시 삼죽면 동아예대길 99,경기도 안성시 삼죽면 진촌리 310번지 3호  
C·F,돼지,554,경기도 안성시 죽산면 걸미로 478-12,경기도 안성시 죽산면 당목리 970번지 3호  
청해농장,돼지,614,경기도 안성시 죽산면 능앞길 129-16,경기도 안성시 죽산면 장능리 69번지 1호  
행복농장,돼지,0,경기도 안성시 일죽면 장암로 93,경기도 안성시 일죽면 장암리 425번지 1호  
동산비육장,돼지,0,경기도 안성시 삼죽면 상삼로 121,"경기도 안성시 삼죽면 내장리 210번지 1호 , 210-2, 209-5, 209-6, 209-7 "
세민농장2,돼지,300,경기도 안성시 고삼면 쌍지길 215-42,경기도 안성시 고삼면 쌍지리 302번지 4호  
덕산농장,돼지,1400,경기도 안성시 삼죽면 삼죽초교길 157,경기도 안성시 삼죽면 덕산리 455번지  
능국농장,돼지,660,경기도 안성시 일죽면 지내동길 20,"경기도 안성시 일죽면 능국리 745-2, 745-3 "
민근농장,돼지,2818,경기도 안성시 미양면 중앙배수1길 128-37,경기도 안성시 미양면 정동리 506번지 2호  
