농장명,농장주,축종명,사육두수(두),농장소재지
창녕3농장,김*례,한우,49,전라남도 순천시 낙안면 창녕리
성환 농장,김*환,종계/산란계,200,전라남도 순천시 낙안면 창녕리
양봉승 농장,양*승,한우,20,전라남도 순천시 해룡면 선학리
장영조 농장,장*조,한우,3,전라남도 순천시 해룡면 신대리
벌교 축산,신*철,육계,1500,전라남도 순천시 낙안면 성북리
김만중 농장,김*중,한우,11,전라남도 순천시 황전면 죽내리
김동표 농장,김*표,한우,80,전라남도 순천시 대룡동
순천만자연드림목장,순천광양축산업협동조합,한우,243,전라남도 순천시 별량면 금치리
농업회사법인에코팜주식회사,농업회사법인에코팜주식회사,돼지,5000,전라남도 순천시 낙안면 창녕리
천우 농장,임*용,한우,6,전라남도 순천시 황전면 대치리
화전 축산,선*옥,한우,18,전라남도 순천시 외서면 화전리
조원준 농장,조*준,한우,12,전라남도 순천시 황전면 대치리
정*옥 농장,정*옥,한우,6,전라남도 순천시 황전면 대치리
대평 목장,채*도,산양,120,전라남도 순천시 해룡면 농주리
선병화 농장,선*화,한우,8,전라남도 순천시 낙안면 목촌리
들물 관광 농원,이*남,육계,2000,전라남도 순천시 서면 청소리
주헌 농장,이*수,한우,200,전라남도 순천시 월등면 농선리
용두 축산,이*형,육계,3000,전라남도 순천시 별량면 구룡리
김선욱 농장,김*욱,육계,70000,전라남도 순천시 별량면 운천리
해찬정,차*순,한우,40,전라남도 순천시 낙안면 창녕리
무지개빛농장,김*종,한우,21,전라남도 순천시 월등면 운월리
최*칠 축사,최*칠,한우,17,전라남도 순천시 서면 운평리
후선 농장,이*선,한우,80,전라남도 순천시 월등면 대평리
정*길농장,정*길,한우,5,전라남도 순천시 외서면 쌍율리
김*곤농장,김*곤,한우,35,전라남도 순천시 외서면 반용리
이*호농장,이*호,한우,15,전라남도 순천시 외서면 장산리
금성목장,강*태,염소,10,전라남도 순천시 별량면 두고리
오곡농장,오*수,한우,15,전라남도 순천시 상사면 오곡리
대박농장,남*우,한우,12,전라남도 순천시 월등면 갈평리
김*모농장,김*모,한우,17,전라남도 순천시 황전면 죽내리
둥지농장,최*석,한우,6,전라남도 순천시 황전면 대치리
조*훈농장,조*훈,한우,3,전라남도 순천시 황전면 대치리
조*훈농장,조*훈,한우,7,전라남도 순천시 황전면 대치리
배*문농장,배*문,한우,5,전라남도 순천시 황전면 대치리
조*규농장,조*규,한우,0,전라남도 순천시 황전면 대치리
학용농장,김*용,한우,13,전라남도 순천시 월등면 신월리
대성농축산,김*군,한우,29,전라남도 순천시 황전면 덕림리
상사초곡축산,차*숙,한우,5,전라남도 순천시 상사면 초곡리
소라축산,진*원,한우,19,전라남도 순천시 덕월동
김*숙농장,김*숙,한우,14,전라남도 순천시 황전면 월산리
라온농장,정*석,육계,35000,전라남도 순천시 별량면 대룡리
(주) 설산목장,박*기,한우,30,전라남도 순천시 승주읍 도정리
회윤농장,손*윤,한우,8,전라남도 순천시 해룡면 농주리
유진농장,오*민,한우,13,전라남도 순천시 승주읍 서평리
검암농장,염*현,오리,7000,전라남도 순천시 낙안면 하송리
지형순농장,지*순,육계,250,전라남도 순천시 해룡면 신대리
도신농장,윤*은,돼지,600,전라남도 순천시 외서면 도신리
풍치축산,김*빈,종계/산란계,0,전라남도 순천시 삼거동
분홍돼지영농조합법인,분홍돼지영농조합법인,돼지,5000,전라남도 순천시 서면 학구리
농선농장,조*신,한우,8,전라남도 순천시 월등면 농선리
봉례농장,박*례,한우,80,전라남도 순천시 낙안면 용능리
읍성구룡농장,조*호,한우,19,전라남도 순천시 낙안면 상송리
동현농장,오*현,한우,56,전라남도 순천시 낙안면 옥산리
쌍율농장,박*배,한우,24,전라남도 순천시 외서면 쌍율리
명승농원,정*홍,한우,10,전라남도 순천시 외서면 장산리
외서농장,김*석,한우,11,전라남도 순천시 외서면 화전리
창녕축산,신*식,한우,40,전라남도 순천시 낙안면 창녕리
율리목장,강*구,한우,20,전라남도 순천시 서면 압곡리
범골농장,장*수,한우,20,전라남도 순천시 상사면 초곡리
창녕농장,신*호,종계/산란계,5000,전라남도 순천시 낙안면 창녕리
송암축산,차*관,한우,5,전라남도 순천시 별량면 금치리
농업회사법인동그라미(주),농업회사법인동그라미(주),한우,41,전라남도 순천시 주암면 어왕리
지리산 농장,최*만,육계,7000,전라남도 순천시 해룡면 선월리
수진농장,조*중,한우,19,전라남도 순천시 상사면 쌍지리
삼일축산,유*주,한우,18,전라남도 순천시 승주읍 두월리
순천양돈영농조합,순천양돈영농조합법인,돼지,6000,전라남도 순천시 월등면 대평리
금성축산,박*기,한우,52,전라남도 순천시 낙안면 옥산리
지본목장,허*양,한우,100,전라남도 순천시 서면 지본리
금호농장,송*자,한우,6,전라남도 순천시 서면 죽평리
동호농장,장*호,한우,11,전라남도 순천시 별량면 운천리
조*익농장,조*익,한우,7,전라남도 순천시 별량면 대곡리
도시농부농원,양*권,한우,29,전라남도 순천시 황전면 비촌리
번개농장,임*범,한우,38,전라남도 순천시 서면 대구리
