순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
282,하교 대웅 흑돼지 농장,돼지,돼지,480,경상남도 함양군 수동면 하교내백로 267-2,2025-09-08
283,장산벌농장,한우,한우,2,경상남도 함양군 안의면 유동길 53-58,2025-09-08
284,무,한우,한우,33,경상남도 함양군 안의면 두항길 143,2025-09-08
285,무,한우,한우,189,경상남도 함양군 안의면 안의도장골길 265,2025-09-08
286,무,한우,한우,25,경상남도 함양군 안의면 두항길 175-21,2025-09-08
287,주식회사 중앙축산농업회사법인 나주지점,돼지,돼지,2500,경상남도 함양군 서하면 호성신길 56,2025-09-08
288,무,한우,한우,8,경상남도 함양군 수동면 우명하교로 283-2 (하늘농장),2025-09-08
289,무,한우,한우,2,경상남도 함양군 휴천면 임호길 71,2025-09-08
290,하버드농장1,한우,한우,30,경상남도 함양군 함양읍 뇌계길 46,2025-09-08
291,머루돌이 농장,돼지,돼지,3300,경상남도 함양군 휴천면 목현옥매로 101-128,2025-09-08
292,무,한우,한우,18,경상남도 함양군 유림면 함양남서로 159-4,2025-09-08
293,무,한우,한우,6,경상남도 함양군 안의면 황마로 221,2025-09-08
294,무,한우,한우,15,경상남도 함양군 백전면 대안리 169번지 1호  ,2025-09-08
295,무,한우,한우,4,경상남도 함양군 함양읍 조동구만길 74-1,2025-09-08
296,무,한우,한우,30,경상남도 함양군 안의면 정자길 12-19,2025-09-08
297,육십령농장,육용오리,오리,15900,경상남도 함양군 서상면 상남리 1572번지 3호  ,2025-09-08
298,무,한우,한우,15,경상남도 함양군 안의면 숲안길 61,2025-09-08
299,무,한우,한우,25,경상남도 함양군 수동면 하교내백로 250-39,2025-09-08
300,무,한우,한우,13,경상남도 함양군 유림면 천왕봉로 3248,2025-09-08
301,무,한우,한우,39,경상남도 함양군 백전면 함양남서로 2793,2025-09-08
302,천왕농장,돼지,돼지,1300,경상남도 함양군 휴천면 천왕봉로 1993-35,2025-09-08
303,무,한우,한우,7,경상남도 함양군 지곡면 함양로 1542-1,2025-09-08
304,무,한우,한우,54,"경상남도 함양군 지곡면 함양로 1574-64, 1574-61",2025-09-08
305,소복농장,한우,한우,50,경상남도 함양군 유림면 지곡양지길 20-2,2025-09-08
306,무,한우,한우,17,경상남도 함양군 지곡면 보산로 246,2025-09-08
307,무,산양,산양,17,경상남도 함양군 마천면 의중길 43-23,2025-09-08
308,무,한우,한우,3,경상남도 함양군 유림면 옥동길 65-1,2025-09-08
309,무,한우,한우,13,경상남도 함양군 안의면 매바위길 54,2025-09-08
310,무,돼지,돼지,1300,경상남도 함양군 수동면 수안길 36,2025-09-08
311,무,한우,한우,12,경상남도 함양군 안의면 월림길 63-2,2025-09-08
312,삼민2목장,젖소,젖소,12,경상남도 함양군 유림면 유림북로 144-1,2025-09-08
