사업장명칭,주사육업종,사업장소재지(지번)
성환농장,한우,경상남도 하동군 양보면
샘골농장,한우,경상남도 하동군 양보면
상진농장,한우,경상남도 하동군 양보면
다정농장,오리,경상남도 하동군 옥종면
점희농장,한우,경상남도 하동군 양보면
삼구목장,한우,경상남도 하동군 양보면
한거름목장,한우,경상남도 하동군 옥종면
불매골농장,한우,경상남도 하동군 진교면
상열농장,한우,경상남도 하동군 진교면
유영농장,한우,경상남도 하동군 적량면
우성농장,한우,경상남도 하동군 횡천면
정원농장,돼지,경상남도 하동군 악양면
대농축산,한우,경상남도 하동군 양보면
바른양돈,돼지,경상남도 하동군 횡천면
숲속농장,한우,경상남도 하동군 횡천면
성찬농장,한우,경상남도 하동군 고전면
진흥축산,돼지,경상남도 하동군 횡천면
지훈목장,한우,경상남도 하동군 옥종면
지리산 진사촌,종계/산란계,경상남도 하동군 악양면
국현농장,한우,경상남도 하동군 하동읍
종광농장,한우,경상남도 하동군 하동읍
나봉농장,한우,경상남도 하동군 북천면
금성농장,한우,경상남도 하동군 금성면
우리농장,산양,경상남도 하동군 악양면
민하농장,한우,경상남도 하동군 진교면
예홍농장,한우,경상남도 하동군 진교면
우리농장,한우,경상남도 하동군 진교면
상재축산,한우,경상남도 하동군 금남면
청일사슴농장,사슴,경상남도 하동군 악양면
상준농장,한우,경상남도 하동군 고전면
정신농장,한우,경상남도 하동군 금남면
해송농장,한우,경상남도 하동군 진교면
김영농장,한우,경상남도 하동군 고전면
장원농장,한우,경상남도 하동군 고전면
돌고지양돈농장,돼지,경상남도 하동군 횡천면
정호농장,한우,경상남도 하동군 하동읍
대봉농장,한우,경상남도 하동군 악양면
바른양돈 제2농장,돼지,경상남도 하동군 횡천면
신화축산7농장,돼지,경상남도 하동군 양보면
현수농장,한우,경상남도 하동군 진교면
하동농원,산양,경상남도 하동군 옥종면
성식농장,한우,경상남도 하동군 진교면
윤주농장,한우,경상남도 하동군 청암면
형제목장2,젖소,경상남도 하동군 옥종면
후평목장,육우,경상남도 하동군 옥종면
북천농원,육계,경상남도 하동군 북천면
승완축사,한우,경상남도 하동군 옥종면
수만농장,한우,경상남도 하동군 악양면
용선축사,한우,경상남도 하동군 청암면
예울농원,종계/산란계,경상남도 하동군 악양면
베틀농장,한우,경상남도 하동군 횡천면
영순농장,한우,경상남도 하동군 하동읍
현석농장,한우,경상남도 하동군 악양면
성재농장,한우,경상남도 하동군 진교면
안양농장2,염소,경상남도 하동군 양보면
운채축사,한우,경상남도 하동군 악양면
세서농장,한우,경상남도 하동군 고전면
현분농장,한우,경상남도 하동군 진교면
항균농장,한우,경상남도 하동군 청암면
알프스황금농장,한우,경상남도 하동군 악양면
답곡미소농장,한우,경상남도 하동군 횡천면
상권축사,한우,경상남도 하동군 옥종면
양포태홍농장,한우,경상남도 하동군 진교면
맹근축사,한우,경상남도 하동군 금성면
용이축산,한우,경상남도 하동군 금남면
형제농장,한우,경상남도 하동군 고전면
삼신봉 농장,한우,경상남도 하동군 횡천면
황금축사,한우,경상남도 하동군 악양면
황금농장 2,한우,경상남도 하동군 악양면
청계농장,한우,경상남도 하동군 양보면
양지농장,한우,경상남도 하동군 횡천면
여레목장,한우,경상남도 하동군 양보면
금진농장,한우,경상남도 하동군 횡천면
정일농장,오리,경상남도 하동군 옥종면
김학석,한우,경상남도 하동군 고전면
이귀태,한우,경상남도 하동군 하동읍
성웅농장,한우,경상남도 하동군 옥종면
진정축사,한우,경상남도 하동군 진교면
시안농장,한우,경상남도 하동군 옥종면
부평목장,젖소,경상남도 하동군 옥종면
신흥농장,한우,경상남도 하동군 악양면
승환농장,한우,경상남도 하동군 적량면
영풍2목장,한우,경상남도 하동군 진교면
나경농장,한우,경상남도 하동군 진교면
매화농장,한우,경상남도 하동군 횡천면
하늘구름목장,산양,경상남도 하동군 옥종면
신안축사,한우,경상남도 하동군 진교면
성진이목장,한우,경상남도 하동군 진교면
들풀농장,한우,경상남도 하동군 옥종면
고란농장,한우,경상남도 하동군 고전면
우리목장,한우,경상남도 하동군 양보면
청학2목장,한우,경상남도 하동군 횡천면
만조농장2,한우,경상남도 하동군 양보면
태영농장2,한우,경상남도 하동군 북천면
엘림농장,한우,경상남도 하동군 악양면
태영농장 3,한우,경상남도 하동군 북천면
황우농장,한우,경상남도 하동군 진교면
옥산2농장,한우,경상남도 하동군 옥종면
조가네 축사,한우,경상남도 하동군 고전면
산들에농장,한우,경상남도 하동군 고전면
춘석농장,한우,경상남도 하동군 고전면
하동축협,한우,경상남도 하동군 진교면
구청농장,한우,경상남도 하동군 양보면
청학골농장,한우,경상남도 하동군 청암면
최참판댁 토지세트장 외양간,한우,경상남도 하동군 악양면
들풀2농장,한우,경상남도 하동군 옥종면
용이축사2,한우,경상남도 하동군 금남면
꼭지농장2,한우,경상남도 하동군 북천면
알프스농장,한우,경상남도 하동군 북천면
땅번지농장,한우,경상남도 하동군 악양면
황금농장,한우,경상남도 하동군 고전면
알프스농장2,한우,경상남도 하동군 북천면
볼매골농장2,한우,경상남도 하동군 진교면
온새미로농장2,육우,경상남도 하동군 양보면
희규농장2,한우,경상남도 하동군 북천면
갈마농장,한우,경상남도 하동군 횡천면
태용축사,한우,경상남도 하동군 진교면
청운2호농장,한우,경상남도 하동군 양보면
성은목장,한우,경상남도 하동군 옥종면
호경농장,한우,경상남도 하동군 청암면
대진축산,한우,경상남도 하동군 진교면
두루미농장2,한우,경상남도 하동군 진교면
장수농장,한우,경상남도 하동군 옥종면
청솔농장,돼지,경상남도 하동군 횡천면
큰들농장2,한우,경상남도 하동군 고전면
희순축사,한우,경상남도 하동군 고전면
성호농장2,한우,경상남도 하동군 옥종면
공드림농장2,한우,경상남도 하동군 적량면
선우축사,한우,경상남도 하동군 북천면
종대농장2,한우,경상남도 하동군 양보면
용구축사,한우,경상남도 하동군 악양면
한성축산,한우,경상남도 하동군 옥종면
희망농장2,한우,경상남도 하동군 양보면
유풍2농장,한우,경상남도 하동군 진교면
횡보농장,한우,경상남도 하동군 횡천면
진암축사,한우,경상남도 하동군 양보면
유정농장,한우,경상남도 하동군 진교면
영수농장,한우,경상남도 하동군 옥종면
양구농장,한우,경상남도 하동군 옥종면
아원가족농장,한우,경상남도 하동군 고전면
성애축산,한우,경상남도 하동군 옥종면
청일사슴농장2,사슴,경상남도 하동군 악양면
도울농장,염소,경상남도 하동군 횡천면
향옥축사,한우,경상남도 하동군 고전면
덕이농장,한우,경상남도 하동군 금성면
청학농장3,한우,경상남도 하동군 횡천면
늘푸른농장,한우,경상남도 하동군 북천면
판호농장,한우,경상남도 하동군 북천면
이희석,한우,경상남도 하동군 북천면
오리내농장,한우,경상남도 하동군 악양면
김관호,한우,경상남도 하동군 북천면
푸른목장,젖소,경상남도 하동군 옥종면
근영제2농장,한우,경상남도 하동군 악양면
옥산재농장,염소,경상남도 하동군 적량면
고성산농장,한우,경상남도 하동군 옥종면
선재축사,한우,경상남도 하동군 금성면
순우축사,한우,경상남도 하동군 진교면
태성농장,한우,경상남도 하동군 청암면
문기농장,한우,경상남도 하동군 양보면
여의농장,한우,경상남도 하동군 횡천면
철이농장,한우,경상남도 하동군 고전면
상복농장,한우,경상남도 하동군 양보면
한수축사,한우,경상남도 하동군 적량면
기출축산,한우,경상남도 하동군 양보면
묵계농장,한우,경상남도 하동군 청암면
대전방농장,한우,경상남도 하동군 진교면
길호농장,한우,경상남도 하동군 양보면
삼형제농원,한우,경상남도 하동군 옥종면
명교축사,한우,경상남도 하동군 고전면
홍평축사,한우,경상남도 하동군 고전면
양포2농장,한우,경상남도 하동군 진교면
영석1농장,한우,경상남도 하동군 진교면
호수농장,한우,경상남도 하동군 청암면
한수농장,한우,경상남도 하동군 진교면
동훈농장,한우,경상남도 하동군 고전면
큰범농장,한우,경상남도 하동군 고전면
금강농장,한우,경상남도 하동군 옥종면
순달축사,한우,경상남도 하동군 고전면
정화축사,한우,경상남도 하동군 옥종면
