사업장명칭,주사육업종,사업장소재지(지번),사육두수
정명저농장,한우,전남광주통합특별시 해남군 옥천면 영춘리 972번지 6호  ,11
귀소농장,한우,전남광주통합특별시 해남군 마산면 연구리 1083번지 34호 외 1필지 ,10
대경농장,한우,전남광주통합특별시 해남군 현산면 월송리 1505번지 2호  ,78
한우농장,한우,전남광주통합특별시 해남군 문내면 예락리 1423번지 3호 외 1필지 ,24
승남농장,한우,전남광주통합특별시 해남군 현산면 일평리 734번지 1호  ,19
가온농장,한우,전남광주통합특별시 해남군 북일면 금당리 438번지 17호  ,80
계수농장,한우,전남광주통합특별시 해남군 삼산면 평활리 486번지 1호  ,31
송촌한우농장,한우,전남광주통합특별시 해남군 현산면 월송리 791번지 외2필지 ,148
근화축산,한우,전남광주통합특별시 해남군 현산면 일평리 733번지  ,22
이민규농장,한우,전남광주통합특별시 해남군 삼산면 창리 812번지 외 1필지 ,10
우혁농장,한우,전남광주통합특별시 해남군 북평면 서홍리 1216번지 3호  ,30
최상모농장,한우,전남광주통합특별시 해남군 북일면 용일리 270번지 1호  ,19
성우축산,한우,전남광주통합특별시 해남군 삼산면 창리 983번지 6호 외 1필지 및 971 ,65
명우축산,한우,전남광주통합특별시 해남군 해남읍 내사리 390번지 외 2필지 ,100
태운축산,한우,전남광주통합특별시 해남군 송지면 송호리 663번지 3호  ,20
종수농장,한우,전남광주통합특별시 해남군 황산면 부곡리 366번지 16호  ,14
정선농장,한우,전남광주통합특별시 해남군 황산면 부곡리 130번지  ,16
고대축산,한우,전남광주통합특별시 해남군 문내면 고평리 557번지  ,25
대봉축산,한우,전남광주통합특별시 해남군 문내면 고평리 158번지  ,30
용철농장,한우,전남광주통합특별시 해남군 해남읍 내사리 548번지 1호  ,37
상윤목장,한우,전남광주통합특별시 해남군 삼산면 충리 315번지  ,19
시등목장,한우,전남광주통합특별시 해남군 삼산면 원진리 939번지  ,12
재호목장,한우,전남광주통합특별시 해남군 삼산면 창리 561번지  ,16
형철농장,한우,전남광주통합특별시 해남군 북평면 이진리 693번지 2호 외1필지 ,19
상우농장,한우,전남광주통합특별시 해남군 북평면 평암리 545번지 2호 외1필지 ,23
믿음축산,한우,전남광주통합특별시 해남군 현산면 읍호리 1014번지  ,25
봉동축산,한우,전남광주통합특별시 해남군 현산면 황산리 118번지 5호 외3필지 ,100
병두농장,한우,전남광주통합특별시 해남군 화산면 평호리 292번지 1호  ,27
원길농장,한우,전남광주통합특별시 해남군 삼산면 원진리 195번지  ,5
효정농장,한우,전남광주통합특별시 해남군 옥천면 성산리 387번지 1호 외 1필지 ,20
현수농장,한우,전남광주통합특별시 해남군 북일면 운전리 352번지 외 1필지 ,50
배미산축산,한우,전남광주통합특별시 해남군 북일면 신월리 1092번지  ,18
동북농축산,한우,전남광주통합특별시 해남군 현산면 황산리 202번지  ,8
수정동농장,한우,전남광주통합특별시 해남군 현산면 월송리 874번지 1호 외1필지 ,50
증산농장,한우,전남광주통합특별시 해남군 현산면 월송리 353번지 1호  ,34
와등축산,한우,전남광주통합특별시 해남군 황산면 연호리 116번지 26호 외1필지 ,61
성산축산,한우,전남광주통합특별시 해남군 화원면 성산리 450번지  ,23
순익농장,한우,전남광주통합특별시 해남군 화원면 마산리 111번지 2호 외2필지 ,30
순기농장,한우,전남광주통합특별시 해남군 삼산면 상가리 307번지 1호 외 2필지 ,11
화룡농장,한우,전남광주통합특별시 해남군 북일면 흥촌리 308번지 1호  ,17
민광배농장,한우,전남광주통합특별시 해남군 마산면 학의리 138번지 2호 외 1필지 ,23
별성농장,한우,전남광주통합특별시 해남군 화원면 후산리 94번지 1호  ,38
만덕농장,한우,전남광주통합특별시 해남군 마산면 노하리 979번지 9호 외 1필지 ,46
석승농장,한우,전남광주통합특별시 해남군 산이면 초송리 140번지 7호  ,31
엘림농장,한우,전남광주통합특별시 해남군 화원면 성산리 331번지 11호 외 3필지 ,14
춘식농장,한우,전남광주통합특별시 해남군 북평면 서홍리 748번지  ,65
영진농장,한우,전남광주통합특별시 해남군 북일면 용일리 1030번지 3호 외 2필지 ,32
미숙농장,한우,전남광주통합특별시 해남군 북일면 흥촌리 417번지  ,9
