제조업체명,사료구분,생산사료명
주식회사 에이치엔에프,배합,배합사료/그밖의동물어류용-애완용동물
애니콩 주식회사 농업회사법인,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
농업회사법인 제이에이치바이오팜,단미,단미사료/혼합성단미사료
경주축산농협 TMR 사료공장,보조,"보조사료/혼합제, 미생물제"
경주축산농협 TMR 사료공장,배합,배합사료/섬유질
그린스웰 주식회사,보조,"보조사료/혼합제, 보존제, 미생물제"
꿀벌박사,배합,배합사료/양축용/꿀벌
한울푸드,단미,단미사료/혼합성 단미사료
멍멍하누,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
(주)엔바이오텍,단미,단미사료/단세포단백질
베프컴퍼니,단미,혼합성 단미사료
(주)에이트리에프앤비,배합,배합사료/그밖의동물어류용-애완용동물
댕댕벅스,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
현대바이오,보조,"보조사료/미생물제, 비타민제"
에코사료,단미,"식물성-박류, 식품가공부산물류, 섬유질사료"
오미원,단미,혼합성 단미사료
한울푸드,배합,배합사료/그밖의동물어류용
(주)위드벅스,단미,단미사료/동물성-곤충류
해버바잍,단미,단미사료/혼합성-혼합제
댕글로리,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
주식회사 민들레,단미,단미사료/광물성-인산염류 및 칼슘염류
안녕하새우,단미,단미사료/혼합성-혼합제
(주)동신,보조,보조사료/규산염제
금봉양돈,단미,"단미사료/식물성-곡류, 강피류"
버드시아,단미,"단미사료/동물성단백질류, 혼합성단미사료"
채릇채릇,배합,"배합사료/그 밖의 동물,어류용 배합사료"
농업회사법인 제이에이치바이오팜,배합,"배합사료/그 밖의 동물,어류용 배합사료"
농업회사법인 (주)시그널케어,배합,배합사료/그밖의동물어류용
더 마이무,단미,단미사료/혼합성 단미사료
맥섬석지엠(주),단미,단미사료/광물성-혼합광물질
해피 인 코리아,단미,"단미사료/동물성-낙농가공부산물류, 혼합성단미사료"
주식회사 미가푸드,단미,단미사료/혼합성단미사료
댕먹,단미,단미사료/혼합성 단미사료
주식회사 미미펫,배합,배합사료/그밖의동물어류용
해인수산,배합,배합사료/그밖의동물어류용
해인수산,단미,"기타 동물성단백질류, 혼합제, 식물성-콩류, 과실류, 채소류 등"
농업회사법인 (주)지오,단미,"단미사료/기타 동물성단백질류, 혼합성 단미사료"
멍멍이와 숲속에서,단미,"단미사료/동물성단백질류, 혼합성단미사료"
아우젠코리아 티케이,보조,보조사료/혼합제
주식회사 티웰 농업회사법인,배합,"배합사료/그 밖의 동물,어류용"
주식회사 티웰 농업회사법인,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
스윗댕(sweet daeng),단미,단미사료/혼합성 단미사료
주식회사 파브르푸드 농업회사법인,단미,"단미사료/동물성-곤충류, 혼합성 단미사료"
씨앤비(주),보조,보조사료/규산염제
주식회사 파브르푸드 농업회사법인,배합,"배합사료/양축용, 그 밖의 동물·어류용"
중독된냥,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
멍꾸기상점,단미,단미사료/혼합성-혼합제
주식회사 지키미,보조,보조사료/혼합제
애니베어,배합,"배합사료/그 밖의 동물, 어류용"
댕심당,단미,단미사료/혼합성 단미사료
견생멍컷,단미,단미사료/혼합성 단미사료
주식회사 스카이젠,배합,"배합사료/그 밖의 동물, 어류용 배합사료"
(주)네오켄바이오,배합,"배합사료/그 밖의 동물, 어류용"
환희네 꿀벌농원,배합,배합사료/양축용-꿀벌
대일알앤에프,단미,단미사료/동물성단백질류-어분
오야츠(OYATSU),단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
주식회사 메디풀,단미,단미사료/광물성-미량광물질류
댕쉐프,단미,단미사료/혼합성 단미사료
피포하우스,단미,단미사료/혼합성-혼합제
애니베어,단미,단미사료/동물성-곤충류
애니베어,보조,"보조사료/비타민제, 혼합제"
애니콩 주식회사 농업회사법인,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
에이치지,단미,"단미사료/기타 동물성단백질류, 혼합성 단미사료"
체리쉬,단미,단미사료/식물성-식품가공부산물류
펫푸드포레,단미,단미사료/혼합성 단미사료
젤리점빵,단미,혼합성 단미사료
보리네 키친,단미,단미시료/혼합성 단미사료
(주)시그널케어 발효센터,배합,배합사료/양축용배합사료
산도리(Sandori),단미,혼합성 단미사료
소소보리,단미,혼합성 단미사료
(주)리뉴엘바이오,배합,그 밖의 동물·어류용 배합사료 / 애완동물용
(주)시그널케어 발효센터,단미,단미사료 / 혼합성-혼합제
(주)위즈바이오,배합,양축용 배합사료 / 그 밖의 동물·어류용 배합사료
로프티팩토리(주),배합,배합사료 / 그 밖의 동물·어류용 배합사료-애완용동물
